Source;Target;Type
'00851';BBS;Undirected
'00851';BAM;Undirected
'00851';VSKP;Undirected
'00851';BZA;Undirected
'00851';RU;Undirected
'00851';JTJ;Undirected
'00851';BNC;Undirected
'00852';BNC;Undirected
'00852';JTJ;Undirected
'00852';RU;Undirected
'00852';BZA;Undirected
'00852';VSKP;Undirected
'00852';BAM;Undirected
'00852';BBS;Undirected
'01081';DR;Undirected
'01081';TNA;Undirected
'01081';KYN;Undirected
'01081';IGP;Undirected
'01081';NK;Undirected
'01081';CSN;Undirected
'01081';JL;Undirected
'01081';BSL;Undirected
'01082';BSL;Undirected
'01082';JL;Undirected
'01082';CSN;Undirected
'01082';NK;Undirected
'01082';IGP;Undirected
'01082';KYN;Undirected
'01082';TNA;Undirected
'01082';DR;Undirected
'01149';BSL;Undirected
'01149';JL;Undirected
'01149';PC;Undirected
'01149';CSN;Undirected
'01150';CSN;Undirected
'01150';PC;Undirected
'01150';JL;Undirected
'01150';BSL;Undirected
'01151';CSN;Undirected
'01151';JMD;Undirected
'01151';SHF;Undirected
'01151';DHI;Undirected
'01152';DHI;Undirected
'01152';SHF;Undirected
'01152';JMD;Undirected
'01152';CSN;Undirected
'01153';CSN;Undirected
'01153';NGN;Undirected
'01153';MMR;Undirected
'01153';LS;Undirected
'01153';NK;Undirected
'01153';DVL;Undirected
'01153';IGP;Undirected
'01153';KSRA;Undirected
'01153';KYN;Undirected
'01153';TNA;Undirected
'01153';DR;Undirected
'01153';CSTM;Undirected
'01154';CSTM;Undirected
'01154';DR;Undirected
'01154';TNA;Undirected
'01154';KYN;Undirected
'01154';KSRA;Undirected
'01154';IGP;Undirected
'01154';DVL;Undirected
'01154';NK;Undirected
'01154';LS;Undirected
'01154';MMR;Undirected
'01154';NGN;Undirected
'01154';CSN;Undirected
'01156';JM;Undirected
'01156';PVR;Undirected
'01156';KMN;Undirected
'01156';KWV;Undirected
'01156';JEUR;Undirected
'01156';BGVN;Undirected
'01156';DD;Undirected
'01156';ANG;Undirected
'01156';BAP;Undirected
'01156';KPG;Undirected
'01156';MMR;Undirected
'01156';NGN;Undirected
'01156';CSN;Undirected
'01156';PC;Undirected
'01156';JL;Undirected
'01156';BSL;Undirected
'01156';BDWD;Undirected
'01156';MKU;Undirected
'01156';NN;Undirected
'01156';JM;Undirected
'01156';SEG;Undirected
'01156';AK;Undirected
'01156';MZR;Undirected
'01156';BD;Undirected
'01156';NAVI;Undirected
'01401';SUR;Undirected
'01401';MO;Undirected
'01401';MA;Undirected
'01401';KWV;Undirected
'01401';BTW;Undirected
'01401';UMD;Undirected
'01401';LUR;Undirected
'01401';LTRR;Undirected
'01401';PRLI;Undirected
'01401';PBN;Undirected
'01401';PAU;Undirected
'01401';HNL;Undirected
'01401';WHM;Undirected
'01401';AK;Undirected
'01401';MZR;Undirected
'01401';BD;Undirected
'01401';CND;Undirected
'01401';DMN;Undirected
'01401';PLO;Undirected
'01401';WR;Undirected
'01401';NGP;Undirected
'01402';NGP;Undirected
'01402';WR;Undirected
'01402';PLO;Undirected
'01402';DMN;Undirected
'01402';CND;Undirected
'01402';BD;Undirected
'01402';MZR;Undirected
'01402';AK;Undirected
'01402';WHM;Undirected
'01402';HNL;Undirected
'01402';PAU;Undirected
'01402';PBN;Undirected
'01402';PRLI;Undirected
'01402';LTRR;Undirected
'01402';LUR;Undirected
'01402';UMD;Undirected
'01402';BTW;Undirected
'01402';KWV;Undirected
'01402';MA;Undirected
'01402';MO;Undirected
'01402';SUR;Undirected
'01419';KOP;Undirected
